CRASH_CRN,DISTRICT,MUNICIPALITY,CRASH_YEAR,CRASH_MONTH,DAY_OF_WEEK,TIME_OF_DAY,HOUR_OF_DAY,WEATHER,ROAD_CONDITION,COLLISION_TYPE,SCH_BUS_IND,SCH_ZONE_IND,AUTOMOBILE_COUNT,MOTORCYCLE_COUNT,SMALL_TRUCK_COUNT,HEAVY_TRUCK_COUNT,SUV_COUNT,VAN_COUNT,BICYCLE_COUNT,FATAL_COUNT,INJURY_COUNT,BICYCLE_DEATH_COUNT,BICYCLE_MAJ_INJ_COUNT,PED_COUNT,PED_DEATH_COUNT,PED_MAJ_INJ_COUNT,LATITUDE,LONGITUDE,DEC_LAT,DEC_LONG,WET_ROAD,SNOW_SLUSH_ROAD,ICY_ROAD,SUDDEN_DEER,FATAL_OR_MAJ_INJ,INJURY,FATAL,SCHOOL_BUS,SCHOOL_ZONE,BICYCLE,HVY_TRUCK_RELATED,ALCOHOL_RELATED,DRINKING_DRIVER,UNDERAGE_DRNK_DRV,CELL_PHONE,SPEEDING_RELATED,AGGRESSIVE_DRIVING,FATIGUE_ASLEEP,PEDESTRIAN,DISTRACTED,MC_DRINKING_DRIVER,DRUGGED_DRIVER,INJURY_OR_FATAL,IMPAIRED_DRIVER,DEER_RELATED,DRUG_RELATED,STREET_NAME
2010029479,11,2102,2010,3,3,942,9,1,0,8,N,N,1,0,0,0,0,0,0,0,1,0,0,1,0,1,40 21:56.653,80 06:27.211,40.36569977,-80.10759735,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,WASHINGTON PK
2010030003,11,2220,2010,3,7,2240,22,1,0,7,N,N,1,0,0,0,0,0,0,0,2,0,0,0,0,0,40 39:32.205,79 52:59.101,40.65890121,-79.88310242,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,BAKERSTOWN RD
2010030011,11,2301,2010,3,5,1806,18,2,1,7,N,N,1,0,0,0,0,0,0,1,0,0,0,0,0,0,40 27:54.028,79 54:51.195,40.46500015,-79.91419983,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,BRADEN WY
2010030742,11,2301,2010,3,1,321,3,1,0,4,N,N,2,0,0,0,0,0,0,0,3,0,0,0,0,0,40 28:58.274,80 02:11.450,40.48289871,-80.03649902,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,TERMON AV
2010030915,11,2116,2010,3,2,48,0,1,1,2,N,N,1,0,0,0,0,1,0,0,2,0,0,0,0,0,40 30:18.330,80 01:16.620,40.50510025,-80.02130127,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,CEMETERY LN
2010030927,11,2413,2010,3,6,2330,23,1,0,1,N,N,1,0,0,0,1,0,0,0,2,0,0,0,0,0,40 22:31.735,79 58:04.278,40.37549973,-79.96790314,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,E GARDEN RD
2010031708,11,2419,2010,3,6,810,8,1,0,1,N,N,1,0,0,0,1,0,0,0,1,0,0,0,0,0,40 26:31.277,79 51:26.325,40.4416008,-79.85790253,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,PENN LINCOLN PY
2010032010,11,2301,2010,4,5,1037,10,1,0,8,N,N,0,0,0,0,1,0,0,0,1,0,0,1,0,1,40 27:26.505,79 57:42.510,40.45740128,-79.96179962,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,BIGELOW BL
2010032048,11,2115,2010,3,2,1027,10,2,1,1,N,N,1,0,1,0,0,0,0,0,2,0,0,0,0,0,40 26:39.805,80 08:55.944,40.44419861,-80.14710236,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,STEUBENVILLE PK
2010032370,11,2301,2010,4,6,1618,16,1,0,0,N,N,0,0,0,0,1,0,0,1,3,0,0,0,0,0,40 25:59.690,79 58:24.949,40.43320084,-79.97360229,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,BIRMINGHAM BR
